Run,Gen,Rule,Fitness,calc_fraction_of_friends,distance_from_home_patch,mean_home_utility_of_neighborhood,mean_neighborhood_age,my_tendency_to_move,neighborhood_isolation
0,1.0,( neighborhood-isolation (( get-patch-to-evaluate  ) )  ) ,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,1.0,( my-tendency-to-move (( get-patch-to-evaluate  ) )  ) ,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0,1.0,( mean-neighborhood-age (( get-patch-to-evaluate  ) )  ) ,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,1.0,( mean-home-utility-of-neighborhood (( get-patch-to-evaluate  ) )  ) ,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,1.0,( my-tendency-to-move (( get-patch-to-evaluate  ) )  ) ,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0,1.0,( calc-fraction-of-friends (( get-patch-to-evaluate  ) )  ) ,0.025326397745902503,1.0,0.0,0.0,0.0,0.0,0.0
0,2.0,( combine (( combine (( combine (( calc-fraction-of-friends (( get-patch-to-evaluate  ) )  ) ) (( mean-home-utility-of-neighborhood (( get-patch-to-evaluate  ) )  ) )  ) ) (( distance-from-home-patch (( get-patch-to-evaluate  ) )  ) )  ) ) (( distance-from-home-patch (( get-patch-to-evaluate  ) )  ) )  ) ,0.05339779085278786,1.0,2.0,1.0,0.0,0.0,0.0
0,2.0,( mean-home-utility-of-neighborhood (( get-patch-to-evaluate  ) )  ) ,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,2.0,( combine (( combine (( combine (( calc-fraction-of-friends (( get-patch-to-evaluate  ) )  ) ) (( mean-home-utility-of-neighborhood (( get-patch-to-evaluate  ) )  ) )  ) ) (( distance-from-home-patch (( get-patch-to-evaluate  ) )  ) )  ) ) (( calc-fraction-of-friends (( get-patch-to-evaluate  ) )  ) )  ) ,0.2102158653084886,2.0,1.0,1.0,0.0,0.0,0.0
0,2.0,( distance-from-home-patch (( get-patch-to-evaluate  ) )  ) ,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0,2.0,( calc-fraction-of-friends (( get-patch-to-evaluate  ) )  ) ,0.034484565314262465,1.0,0.0,0.0,0.0,0.0,0.0
